          234         464
     2.0642  -122.9862    -0.3509nan        nan        nan        
     3   146   140   139
     3   146   147   140
     3   147   134   140
     3   147   141   134
     3   148   142   141
     3   148   149   142
     3   149   143   142
     3   149   150   143
     3   150   144   143
     3   150   151   144
     3   151   145   144
     3   151   152   145
     3   152   146   145
     3   152   153   146
     3   153   147   146
     3   153   154   147
     3   154   141   147
     3   154   148   141
     3   155   149   148
     3   155   156   149
     3   156   150   149
     3   156   157   150
     3   157   151   150
     3   157   158   151
     3   158   152   151
     3   158   159   152
     3   159   153   152
     3   159   160   153
     3   160   154   153
     3   160   161   154
     3   161   148   154
     3   161   155   148
     3   162   156   155
     3   162   163   156
     3   163   157   156
     3   163   164   157
     3   164   158   157
     3   164   165   158
     3   165   159   158
     3   165   166   159
     3   166   160   159
     3   166   167   160
     3   167   161   160
     3   167   168   161
     3   168   155   161
     3   168   162   155
     3   169   163   162
     3   169   170   163
     3   170   171   163
     3   171   164   163
     3   171   172   164
     3   172   173   164
     3   173   165   164
     3   173   174   165
     3   174   175   165
     3   175   166   165
     3   175   176   166
     3   176   177   166
     3   177   167   166
     3   177   178   167
     3   178   179   167
     3   179   168   167
     3   179   180   168
     3   180   181   168
     3   181   162   168
     3   181   169   162
     3   182   170   169
     3   182   183   170
     3   183   171   170
     3   183   184   171
     3   184   172   171
     3   184   185   172
     3   185   173   172
     3   185   186   173
     3   186   174   173
     3   186   187   174
     3   187   175   174
     3   187   188   175
     3   188   176   175
     3   188   189   176
     3   189   177   176
     3   189   190   177
     3   190   178   177
     3   190   191   178
     3   191   179   178
     3   191   192   179
     3   192   180   179
     3   192   193   180
     3   193   181   180
     3   193   194   181
     3   194   169   181
     3   194   182   169
     3   195   183   182
     3   195   196   183
     3   196   184   183
     3   196   197   184
     3   197   185   184
     3   197   198   185
     3   198   186   185
     3   198   199   186
     3   199   187   186
     3   199   200   187
     3   200   188   187
     3   200   201   188
     3   201   189   188
     3   201   202   189
     3   202   190   189
     3   202   203   190
     3   203   191   190
     3   203   204   191
     3   204   192   191
     3   204   205   192
     3   205   193   192
     3   205   206   193
     3   206   194   193
     3   206   207   194
     3   207   182   194
     3   207   195   182
     3   208   196   195
     3   208   209   196
     3   209   197   196
     3   209   210   197
     3   210   198   197
     3   210   211   198
     3   211   199   198
     3   211   212   199
     3   212   200   199
     3   212   213   200
     3   213   201   200
     3   213   214   201
     3   214   202   201
     3   214   215   202
     3   215   203   202
     3   215   216   203
     3   216   204   203
     3   216   217   204
     3   217   205   204
     3   217   218   205
     3   218   206   205
     3   218   219   206
     3   219   207   206
     3   219   220   207
     3   220   195   207
     3   220   208   195
     3   221   209   208
     3   221   222   209
     3   222   210   209
     3   222   223   210
     3   223   211   210
     3   223   224   211
     3   224   212   211
     3   224   225   212
     3   225   213   212
     3   225   226   213
     3   226   214   213
     3   226   227   214
     3   227   215   214
     3   227   228   215
     3   228   216   215
     3   228   229   216
     3   229   217   216
     3   229   230   217
     3   230   218   217
     3   230   231   218
     3   231   219   218
     3   231   232   219
     3   232   220   219
     3   232   233   220
     3   233   208   220
     3   233   221   208
     4   234   234   222   221
     4   234   234   223   222
     4   234   234   224   223
     4   234   234   225   224
     4   234   234   226   225
     4   234   234   227   226
     4   234   234   228   227
     4   234   234   229   228
     4   234   234   230   229
     4   234   234   231   230
     4   234   234   232   231
     4   234   234   233   232
     4   234   234   221   233
